_ws.col.No.,_ws.col.Time,ip.src,ip.dst,tcp.seq,tcp.ack,tcp.len,tcp.port
"355","0.119282000","69.148.243.171","38.107.216.37","1","1519905","0","49048"
"356","0.119282000","69.148.243.171","38.107.216.37","1","1528593","0","49048"
"357","0.119485000","69.148.243.171","38.107.216.37","1","1537281","0","49048"
"358","0.119485000","69.148.243.171","38.107.216.37","1","1543073","0","49048"
"359","0.120000000","69.148.243.171","38.107.216.37","1","1550313","0","49048"
"360","0.120001000","69.148.243.171","38.107.216.37","1","1563345","0","49048"
"361","0.120016000","38.107.216.37","69.148.243.171","1614025","1","36200","44465"
"362","0.120508000","69.148.243.171","38.107.216.37","1","1577825","0","49048"
"363","0.120528000","38.107.216.37","69.148.243.171","1650225","1","23168","44465"
"364","0.120740000","69.148.243.171","38.107.216.37","1","1585065","0","49048"
"365","0.120745000","69.148.243.171","38.107.216.37","1","1599545","0","49048"
"366","0.121267000","69.148.243.171","38.107.216.37","1","1608233","0","49048"
"367","0.121288000","38.107.216.37","69.148.243.171","1673393","1","36200","44465"
"368","0.121488000","69.148.243.171","38.107.216.37","1","1614025","0","49048"
"369","0.121496000","38.107.216.37","69.148.243.171","1709593","1","13032","44465"
"370","0.123261000","69.148.243.171","38.107.216.37","1","1622713","0","49048"
"371","0.123261000","69.148.243.171","38.107.216.37","1","1635745","0","49048"
"372","0.123283000","38.107.216.37","69.148.243.171","1722625","1","15928","44465"
